index,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_Bajo,floor_Entreplanta exterior,floor_Entreplanta interior,floor_Semi-sótano exterior,floor_Semi-sótano interior,floor_Sótano exterior,floor_Sótano interior,buy_price
4114,0,0,0,50.0,3,1.0,1,0,0,0,0,0,0,40.398746100000004,-3.6581186076151115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99900
4115,0,1,0,90.0,4,1.0,1,0,0,0,1,0,0,40.3851802,-3.6584870993071865,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139900
4116,0,1,0,51.0,3,1.0,1,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85000
4117,0,0,0,63.0,2,1.0,1,0,0,0,1,1,0,40.3871008,-3.634472804869207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119000
4118,0,0,0,70.0,2,1.0,1,1,0,0,1,0,0,40.3871008,-3.634472804869207,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145000
4119,0,0,0,69.0,3,1.0,1,0,0,0,1,0,0,40.38943870000001,-3.6677411263176674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135000
4120,0,0,0,59.0,3,1.0,1,0,0,0,1,1,0,40.3871008,-3.634472804869207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,135000
4121,0,0,0,92.0,4,2.0,1,1,0,0,1,0,0,40.3871008,-3.634472804869207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169000
4122,0,0,0,87.0,3,1.0,1,0,0,0,0,0,0,40.398746100000004,-3.6581186076151115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123000
4123,0,0,0,60.0,3,1.0,1,0,0,0,1,0,0,40.3871008,-3.634472804869207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,135000
