,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
5322,0,0,70.0,2,1.0,2.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,150000
5323,0,0,63.0,2,1.0,2.0,1,0,0,1,0,1,0,40.4048009,-3.7452693,139000
5324,0,0,65.0,3,1.0,1.0,1,0,0,0,1,0,0,40.3946832,-3.7682788,126000
5327,0,0,80.0,3,1.0,2.0,1,1,0,0,0,0,0,40.3814589,-3.7803772000000007,198000
5333,0,0,70.0,3,1.0,3.0,1,1,0,0,0,0,0,40.3946832,-3.7682788,198000
5335,0,0,53.0,2,1.0,2.0,1,0,0,0,0,1,0,40.4048009,-3.7452693,129000
5337,0,0,72.0,3,1.0,3.0,1,0,0,0,0,1,0,40.4137225,-3.7271715,139000
5338,0,0,55.0,1,1.0,2.0,1,1,0,1,0,0,0,40.4137225,-3.7271715,140000
5341,0,0,89.0,3,1.0,1.0,1,1,0,0,1,0,0,40.3814589,-3.7803772000000007,180000
5342,0,0,62.0,3,1.0,0.0,1,0,0,0,0,0,0,40.3946832,-3.7682788,126000
5343,0,0,73.0,3,1.0,3.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,195000
5345,0,0,81.0,2,1.0,6.0,1,1,0,0,1,0,0,40.4048009,-3.7452693,230000
5347,1,0,64.0,3,1.0,0.0,1,0,0,0,1,0,0,40.3946832,-3.7682788,165000
5348,0,0,64.0,2,1.0,0.0,1,1,0,0,0,0,0,40.4137225,-3.7271715,150000
5351,0,0,65.0,2,1.0,0.0,1,0,0,0,1,0,0,40.4137225,-3.7271715,189000
5352,1,0,65.0,2,1.0,3.0,1,0,0,0,1,1,0,40.3856442,-3.760740564866897,110000
5356,1,0,77.0,3,1.0,2.0,1,1,0,0,0,1,0,40.4048009,-3.7452693,149000
5358,0,0,67.0,2,1.0,4.0,1,0,0,1,0,1,0,40.3856442,-3.760740564866897,210000
5359,0,0,67.0,2,1.0,4.0,1,0,0,0,0,0,0,40.4048009,-3.7452693,155000
5363,0,0,95.0,2,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,199000
5364,1,0,59.0,3,1.0,0.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,145000
5369,0,0,80.0,2,1.0,0.0,1,1,1,1,0,0,0,40.3814589,-3.7803772000000007,250000
5372,0,0,93.0,3,1.0,3.0,1,1,0,0,0,0,0,40.4048009,-3.7452693,250000
5373,0,0,90.0,3,1.0,1.0,1,1,1,1,0,1,0,40.4048009,-3.7452693,210000
5376,0,0,75.0,2,1.0,0.5,1,1,0,1,0,0,1,40.3856442,-3.760740564866897,185000
5379,0,0,75.0,2,1.0,4.0,1,0,0,0,1,0,0,40.3856442,-3.760740564866897,155000
5380,0,0,74.0,3,1.0,1.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,220000
5382,0,0,64.0,2,1.0,1.0,1,0,0,0,1,0,0,40.4137225,-3.7271715,125000
5384,0,0,80.0,2,1.0,0.0,1,1,1,1,1,0,0,40.3946832,-3.7682788,265000
5385,1,0,79.0,3,2.0,0.0,1,0,0,0,0,0,0,40.3856442,-3.760740564866897,155000
5387,1,0,123.0,2,2.0,4.0,1,1,0,1,0,1,0,40.4137225,-3.7271715,375000
5390,0,0,51.0,1,1.0,2.0,1,1,0,1,0,0,0,40.4137225,-3.7271715,148000
5391,0,0,50.0,1,1.0,2.0,1,1,0,1,0,0,0,40.4137225,-3.7271715,148000
5392,0,0,59.0,1,1.0,0.0,0,1,0,0,0,0,0,40.4137225,-3.7271715,159000
5395,0,0,78.0,3,1.0,0.0,1,1,0,0,0,0,0,40.4137225,-3.7271715,210000
5396,0,0,65.0,2,1.0,2.0,1,1,0,0,1,0,0,40.3856442,-3.760740564866897,130000
5397,0,0,53.0,2,1.0,2.0,1,0,0,0,1,0,0,40.4048009,-3.7452693,129000
5398,1,0,71.0,3,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,120000
5400,0,0,72.0,3,1.0,5.0,1,0,1,1,1,0,0,40.3814589,-3.7803772000000007,155000
5401,0,0,76.0,3,1.0,0.0,1,1,0,0,0,0,0,40.4048009,-3.7452693,150000
