,neighborhood_id,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,buy_price,buy_price_by_area,latitude,longitude
5015,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,55.0,2,1.0,4,True,True,False,False,True,False,False,139000,2527,40.4048009,-3.7452693
5016,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,74.0,2,1.0,1,True,False,False,True,True,False,False,180000,2432,40.4048009,-3.7452693
5017,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,True,False,83.0,3,1.0,5,True,True,False,False,True,False,False,260000,3133,40.4137225,-3.7271715
5018,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,65.0,2,1.0,Bajo,True,False,False,False,False,False,False,126000,1938,40.4048009,-3.7452693
5019,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,109.0,3,2.0,4,True,True,True,False,True,False,True,393500,3610,40.4048009,-3.7452693
5020,"Águilas, Latina(Madrid)",HouseType 1: Pisos,True,False,70.0,3,1.0,1,True,False,False,False,False,False,False,126000,1800,40.3814589,-3.7803772
5021,"Águilas, Latina(Madrid)",HouseType 1: Pisos,True,False,75.0,3,1.0,3,True,True,False,False,True,False,False,170000,2267,40.3814589,-3.7803772
5022,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,68.0,1,1.0,1,True,True,False,True,False,True,False,167000,2456,40.4048009,-3.7452693
5023,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,70.0,2,1.0,Entreplanta exterior,True,True,False,False,False,False,False,165000,2357,40.4137225,-3.7271715
5024,"Lucero, Latina(Madrid)",HouseType 1: Pisos,True,False,75.0,3,1.0,3,True,False,False,False,False,False,False,126000,1680,40.4048009,-3.7452693
5025,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,65.0,3,1.0,3,True,False,False,False,False,True,False,165000,2538,40.4137225,-3.7271715
5026,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,59.0,2,1.0,1,True,False,False,False,False,True,False,150000,2542,40.4048009,-3.7452693
5027,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,52.0,2,1.0,4,True,False,False,False,True,True,False,117000,2250,40.4137225,-3.7271715
5028,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,70.0,2,1.0,2,True,False,False,False,False,False,False,124900,1784,40.3856442,-3.7607405648668966
5029,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,56.0,2,1.0,Bajo,True,True,False,True,False,False,False,125000,2232,40.3814589,-3.7803772
5030,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,54.0,2,1.0,2,True,False,False,False,False,False,False,129000,2389,40.4048009,-3.7452693
5031,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,False,75.0,2,1.0,1,True,True,False,False,False,False,False,238000,3173,40.406944,-3.726389
5032,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,74.0,3,1.0,2,True,False,False,False,True,False,False,197260,2666,40.4137225,-3.7271715
5033,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,76.0,3,1.0,3,True,True,False,False,True,False,False,154000,2026,40.3856442,-3.7607405648668966
5034,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,75.0,3,1.0,8,True,True,False,True,True,False,False,135000,1800,40.3814589,-3.7803772
5035,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,75.0,3,1.0,8,True,True,False,False,True,False,False,144000,1920,40.3814589,-3.7803772
5036,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,109.0,3,2.0,1,True,True,False,False,False,False,False,298000,2734,40.4048009,-3.7452693
5037,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,True,False,69.0,3,1.0,4,True,True,False,False,False,False,False,225000,3261,40.406944,-3.726389
5038,"Águilas, Latina(Madrid)",HouseType 1: Pisos,True,False,73.0,3,1.0,3,True,True,False,True,True,False,False,110000,1507,40.3814589,-3.7803772
5039,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,78.0,2,1.0,9,True,True,False,False,True,False,False,288000,3692,40.4048009,-3.7452693
5040,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,95.0,2,2.0,1,True,True,True,True,True,False,True,360000,3789,40.4048009,-3.7452693
5041,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,67.0,3,1.0,3,True,False,True,False,False,False,False,149000,2224,40.3814589,-3.7803772
5042,"Campamento, Latina(Madrid)",HouseType 1: Pisos,True,False,62.0,2,1.0,1,False,False,False,False,True,False,False,126000,2032,40.3946832,-3.7682788
5043,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,45.0,3,1.0,Bajo,True,False,False,False,False,False,False,130000,2889,40.4137225,-3.7271715
5044,"Aluche, Latina(Madrid)",HouseType 1: Pisos,True,False,140.0,4,2.0,1,True,True,True,False,True,False,False,420000,3000,40.3856442,-3.7607405648668966
5045,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,107.0,3,2.0,4,True,True,True,True,False,False,False,365000,3411,40.4048009,-3.7452693
5046,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,False,140.0,4,3.0,8,True,True,False,False,False,False,False,475000,3393,40.406944,-3.726389
5047,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,57.0,1,1.0,1,True,True,False,True,False,True,False,161000,2825,40.4048009,-3.7452693
5048,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,70.0,2,1.0,2,True,True,True,False,False,True,False,235000,3357,40.4137225,-3.7271715
5049,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,75.0,3,1.0,5,True,False,False,True,True,False,False,249000,3320,40.4048009,-3.7452693
5050,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,70.0,3,1.0,Bajo,False,True,False,True,True,False,False,183000,2614,40.4048009,-3.7452693
5051,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,100.0,3,2.0,9,True,True,False,False,True,False,False,260000,2600,40.4048009,-3.7452693
5052,"Lucero, Latina(Madrid)",HouseType 5: Áticos,False,False,115.0,3,3.0,5,True,True,True,False,True,False,False,370000,3217,40.4048009,-3.7452693
5053,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,90.0,2,2.0,4,True,True,True,True,False,False,True,330000,3667,40.4048009,-3.7452693
5054,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,84.0,3,1.0,2,True,True,False,False,True,False,False,194000,2310,40.3856442,-3.7607405648668966
5055,"Lucero, Latina(Madrid)",HouseType 1: Pisos,True,False,140.0,4,2.0,7,True,True,True,True,True,False,False,370000,2643,40.4048009,-3.7452693
5056,"Campamento, Latina(Madrid)",HouseType 1: Pisos,False,False,69.0,3,1.0,4,True,False,False,False,False,False,False,130000,1884,40.3946832,-3.7682788
5057,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,62.0,2,1.0,3,True,True,False,False,True,False,False,180000,2903,40.4137225,-3.7271715
5058,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,53.0,2,1.0,3,True,False,False,False,False,False,False,240000,4528,40.4137225,-3.7271715
5059,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,53.0,2,1.0,2,True,False,False,False,True,False,False,129000,2434,40.4048009,-3.7452693
5060,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,False,65.0,3,1.0,Semi-sótano exterior,True,False,False,False,True,False,False,119000,1831,40.406944,-3.726389
5061,"Lucero, Latina(Madrid)",HouseType 1: Pisos,True,False,74.0,3,1.0,4,True,True,False,False,False,False,False,139000,1878,40.4048009,-3.7452693
5062,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,52.0,1,1.0,Bajo,True,False,False,False,False,False,False,165000,3173,40.4137225,-3.7271715
