,house_type_id,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
10286,1,0,0,90.0,3,1.0,8.0,1,1,0,0,0,0,0,40.43737280000001,-3.6436099185322814,270000
10287,0,0,0,50.0,1,1.0,0.0,1,1,0,1,0,0,0,40.4350329,-3.644171,175000
10290,0,1,0,70.0,3,1.0,4.0,0,0,0,0,1,0,0,40.4350329,-3.644171,155000
10291,0,1,0,80.0,3,1.0,8.0,1,1,0,0,0,0,0,40.47538345,-3.669831997592169,180000
10292,0,0,0,70.0,2,1.0,0.0,1,1,0,0,1,0,0,40.4220402,-3.6517069,175000
10293,0,0,0,72.0,3,1.0,2.0,0,0,0,0,0,0,0,40.4350329,-3.644171,175000
10294,0,0,0,69.0,2,1.0,3.0,1,1,0,1,1,0,0,40.45824765,-3.6597056668499386,290000
10296,0,0,0,70.0,2,1.0,2.0,1,1,1,0,1,0,0,40.4350329,-3.644171,230000
10297,0,0,0,76.0,3,1.0,7.0,1,1,0,0,0,0,0,40.47538345,-3.669831997592169,180000
10298,0,0,0,100.0,3,1.0,2.0,1,0,0,0,1,1,0,40.4350329,-3.644171,270000
10300,0,0,0,70.0,2,1.0,3.0,1,0,0,0,0,0,0,40.43737280000001,-3.6436099185322814,180000
10302,0,0,0,79.0,2,1.0,6.0,1,1,0,0,1,0,0,40.45087879999999,-3.655924108363301,340000
10305,2,0,0,93.0,2,2.0,7.0,1,1,0,0,0,0,0,40.43820570000001,-3.6495784,340000
10306,0,0,0,106.0,3,2.0,2.0,1,1,1,1,1,0,0,40.4350329,-3.644171,310000
10307,0,1,0,54.0,1,1.0,1.0,1,0,0,0,0,0,0,40.45824765,-3.6597056668499386,200000
10308,0,0,0,90.0,2,2.0,4.0,1,1,1,1,0,0,0,40.4350329,-3.644171,260000
10309,0,0,0,62.0,2,1.0,3.0,1,0,0,0,0,0,0,40.43737280000001,-3.6436099185322814,167000
10310,0,0,0,64.0,2,1.0,7.0,1,1,0,0,0,0,0,40.4426834,-3.6534541,215000
10311,0,0,0,79.0,3,1.0,2.0,1,1,0,0,1,0,0,40.4220402,-3.6517069,285000
10312,0,0,0,148.0,3,3.0,3.0,1,1,1,1,0,0,0,40.4426834,-3.6534541,590000
10313,0,0,0,53.0,1,1.0,1.0,1,1,0,1,0,1,0,40.4350329,-3.644171,190000
10314,0,0,0,55.0,1,1.0,3.0,1,1,1,1,0,0,1,40.47538345,-3.669831997592169,265000
10315,0,0,0,60.0,2,1.0,3.0,1,0,0,0,0,0,0,40.4350329,-3.644171,165000
10317,2,0,0,148.0,4,2.0,8.0,1,1,1,1,1,0,1,40.4350329,-3.644171,630000
10318,0,0,0,80.0,2,1.0,3.0,1,0,0,0,0,0,0,40.43737280000001,-3.6436099185322814,180000
10319,1,0,0,90.0,2,1.0,3.0,1,1,0,1,1,1,0,40.43737280000001,-3.6436099185322814,310000
10320,0,0,0,65.0,3,1.0,3.0,1,0,1,0,1,0,0,40.4220402,-3.6517069,170000
10321,0,0,0,58.0,3,1.0,2.0,1,0,0,0,0,0,0,40.4220402,-3.6517069,139000
10323,0,1,0,99.0,3,2.0,3.0,1,1,1,1,1,0,0,40.4350329,-3.644171,300000
10324,0,0,0,70.0,0,1.0,0.0,0,0,0,1,0,0,0,40.4350329,-3.644171,155000
10325,0,0,0,68.0,3,1.0,0.0,0,0,0,0,0,0,0,40.4350329,-3.644171,155000
10326,0,0,0,74.0,2,1.0,1.0,1,1,0,0,1,0,0,40.4350329,-3.644171,195000
10327,0,0,0,68.0,3,1.0,1.0,1,0,0,0,1,0,0,40.4350329,-3.644171,189000
10328,0,0,0,51.0,2,1.0,2.0,1,1,0,0,0,0,0,40.4220402,-3.6517069,149000
10329,2,0,0,45.0,1,1.0,3.0,1,1,1,0,1,1,0,40.45824765,-3.6597056668499386,305000
10330,0,0,0,122.0,4,2.0,1.0,1,1,0,0,0,0,1,40.45824765,-3.6597056668499386,549000
10331,0,0,0,70.0,2,1.0,0.0,1,1,0,0,0,0,0,40.4350329,-3.644171,160000
